typo,orig,historique
RUE MYRHA,"En souvenir d'une fille de M. Biron, maire de l'ancienne commune de Montmartre.","Précédemment rue de Constantine, entre les rues Stephenson et des Poissonniers et rue Myrha, entre les rues des Poissonniers et Christiani. Sur le cadastre de 1843, la rue Myrha porte le nom de rue Frédéric."
RUE RAVIGNAN,"Gustave François Xavier de Lacroix de Ravignan (1795-1858), jésuite, prédicateur.","Précédemment partie de la rue du Vieux chemin de Paris. Un décret du 11 août 1867 prévoyait la suppression d'un tronçon de cette voie qui est englobé aujourd'hui dans la place Jean-Baptiste Clément. La place Emile Goudeau, dénommée par arrêté du 20 février 1911, était, avant cette date, une partie de la rue Ravignan."
RUE DU MONT CENIS,"Rue très abrupte ; a pris le nom du Mont-Cenis, massif des Alpes du Nord.",Précédemment petite rue Saint-Denis entre les rues Norvins et Marcadet et rue Saint-Denis dans la partie B. La rue Saint-Denis était plus anciennement le chemin de la Procession. Ces voies étaient indiquées sur le plan de Jouvin de Rochefort (1672).
RUE DES MARTYRS,Conduit vers Montmartre ou mont des Martyrs.,"Cette voie est indiquée à l'état de chemin sur le plan de Jouvin de Rochefort (1672). Elle fut primitivement dénommée rue des Porcherons, puis rue des Martyrs et, de 1793 à 1806, rue du Champ de Repos. Après la construction de l'enceinte des Fermiers Généraux, la partie située au-delà du boulevard fut appelée chaussée des Martyrs ; elle fut de nouveau réunie à la rue des Martyrs par arrêté préfectoral du 2 avril 1868."
RUE DES CLOYS,Lieu-dit.,"L'arrêté du 10 novembre 1873 réunissait à la rue des Cloÿs, comprise entre les rues du Ruisseau et Damrémont, la partie de la rue de la Pompe comprise entre les rues Duhesme et du Ruisseau. Avant 1867, la rue des Cloÿs s'étendait jusqu'à la rue Championnet ; la partie qui était comprise entre les rues Damrémont et Championnet est devenue une partie de la rue Ordener."
RUE JENNER,"Edouard Jenner (1749-1823), médecin anglais, découvrit la vaccine.",Précédemment rue des Deux Moulins. Elle faisait partie de l'ancien village d'Austerlitz.
PLACE SAINT-FERDINAND,Voisinage de l'église Saint-Ferdinand des Ternes.,"Précédemment, rond-point de Ferdinanville."
AVENUE ANATOLE FRANCE,"Anatole François Thibault, dit Anatole France (1844-1924), écrivain français.",La partie de l'avenue Anatole France comprise entre le quai Branly et l'avenue Gustave Eiffel a été intégrée dans l'esplanade des Ouvriers de la Tour Eiffel
RUE DE L'ABBE DE L'EPEE,"L'abbé Charles Michel de l'Epée (1712-1789), fondateur de l'Institution des Sourds-Muets ; voisinage de cet établissement.","La partie B a été ouverte sous le nom de ruelle Saint-Jacques du Haut Pas ; elle a été successivement dénommée ruelle du Cimetière Saint-Jacques et rue des Deux Eglises. De 1873 à 1885, la rue actuellement appelée Auguste Comte a été réunie à la rue de l'Abbé de l'Epée. La rue de l'Abbé de l'Epée finissait, avant 1967, boulevard Saint-Michel. A cette époque, on a donné le nom de place Louis Marin au carrefour formé par le débouché des rues de l'Abbé de l'Epée et Henri Barbusse sur le boulevard Saint-Michel (côté impair). Une partie de la rue de l'Abbé de l'Epée a été nommée rue de Mirbel."
RUE TARDIEU,Famille qui compte un grand nombre de graveurs célèbres (XVIIIe et XIXe siècles).,
RUE BISSON,"Hippolyte Bisson (1796-1827), enseigne de vaisseau, se fit sauter pour ne pas se rendre à des pirates.","Précédemment, rue des Montagnes. Elle est tracée sur le plan de Roussel (1730)."
RUE DE L'EVANGILE,"Croix de l'Evangile, située à la rencontre de deux chemins devenus, l'un la rue de l'Evangile, l'autre la rue d'Aubervilliers.","Précédemment, rue d'Aubervilliers, entre les places de Torcy et Hébert, et chemin de la Croix de l'Evangile, entre la place Hébert et la rue d'Aubervilliers. Cette voie est indiquée sur le plan de Roussel (1730)."
RUE VILLEHARDOUIN,"Geoffroi, sire de Villehardouin, chroniqueur du XIIe siècle ; voisinage de l'ancienne rue Saint-Louis, aujourd'hui rue de Turenne.","Précédemment, rue Neuve Saint-Pierre dans la partie A, et rue des Douze Portes dans la partie B. La rue Neuve Saint-Pierre s'appela, à l'origine, rue Neuve Saint-Pierre, puis rue Neuve des Minimes (1655). Elle fut également appelée rue Neuve. Elle se prolongeait alors au-delà de la rue Saint-Claude ; une partie en fut supprimée et réunie aux hôtels de Turenne et de Guénégaud (lettres patentes enregistrées le 26 août 1656). La rue reprit à cette époque le nom de rue Neuve Saint-Pierre. La rue des Douze Portes porte ce nom sur le plan de Gomboust (1652) ; elle a également été appelée, au XVIIe siècle, rue Saint-Nicolas."
PLACE PINEL,Voisinage de la rue Pinel.,Précédemment place de la Barrière d'Ivry. Antérieurement place des Deux Moulins.
RUE DES MARONITES,"Les Maronites, catholiques du Liban ; voisinage de la rue du Liban.",Précédemment rue de Constantine. Elle paraît occuper l'emplacement d'un chemin tracé sur le plan de Roussel (1730).
RUE DES CHAUFOURNIERS,Voisinage des anciens fours à chaux des carrières des Buttes Chaumont.,"Précédemment, rue Arago."
AVENUE VAN DYCK,"Antoine Van Dyck (1599-1641), peintre flamand ; on a groupé des noms d'artistes dans le voisinage du parc de Monceau.",Ouverte par la Ville de Paris.
RUE FROMENT,"Paul-Gustave Froment, inventeur du mécanisme employé dans la construction des horloges électriques, mort en 1865 ; quartier industriel.",
RUE DE L'ARSENAL,Ouverte dans l'enclos de l'ancien Arsenal.,"Précédemment partie de l'ancienne rue de l'Orme, cédée par l'Etat à la Ville de Paris en 1841. Cette voie a supprimé la place de l'Arsenal ou des Armes, située à la rencontre des rues de l'Arsenal et de la Cerisaie, antérieurement cour des Ormes, et plus anciennement cour du Salpêtre."
RUE LIANCOURT,"Le duc François Alexandre Frédéric de La Rochefoucauld Liancourt (1747-1827), philanthrope et homme politique avait fondé à Liancourt une école des Arts et Métiers ; voisinage de l'hospice de La Rochefoucauld.","Précédemment, rue de La Rochefoucauld."
AVENUE GOURGAUD,"Le baron Gaspard Gourgaud (1783-1852), général d'artillerie français, voisinage de la route militaire.",Ouverte par MM. Pereire et Deguingand et acquise par la Ville en vertu d'un jugement du 13 juin 1863.
RUE DAUTANCOURT,"Le général Dautancourt, défenseur du quartier en 1814.",Précédemment rue Moncey.
RUE NICOLAI,Voisinage de l'ancien château de Bercy qui appartenait à la famille Nicolaï.,"Précédemment partie de la rue de la Grange aux Merciers dans la partie A, et rue des Chemins Verts dans la partie B. La rue de la Grange aux Merciers allait anciennement jusqu'à la Seine ; le tronçon qui s'étendait entre le quai de Bercy et la rue Coriolis avait été absorbé par le chemin de fer de Lyon et par les anciens entrepôts de Bercy en 1877. Ce dernier tronçon (supprimé) a été dénommé cour Nicolaï par arrêté préfectoral du 17 décembre 1963. Elle est indiquée sur le plan de Roussel (1730). Elle faisait partie de la RN n° 47."
PLACE DES ABBESSES,Voisinage de la rue des Abbesses.,Précédemment place de l'Abbaye.
RUE LINOIS,"Charles Alexandre Léon Durand, compte de Linois (1761-1848), vice-amiral ; voisinage de l'Ecole Militaire.","Précédemment rue du Pont. La partie, au-delà de l'avenue Emile Zola, qui portait les nos 55 à 59, a été incluse à la rue des Entrepreneurs par l'arrêté du 29 mars 1968."
RUE LE SUEUR,"Eustache Le Sueur (1617-1655), peintre, dessinateur et décorateur français ; quartier où ont été groupés des noms d'artistes.","Précédemment, rue Saint-Ange."
PASSAGE DUBOIS,Ouverte sur les terrains de M. Dubois.,
PLACE CLAUDE NOUGARO,"Claude Nougaro (Toulouse (Haute-Garonne), 1929 - Paris, 2004), auteur-compositeur-interprète.",
RUE THIBAUD,"Thibaud, abbé de Sainte-Geneviève (XIIIe siècle).",Précédemment rue d'Amboise.
RUE TRAVERSIERE,"Au XVIIe siècle, un jardinier du nom de Traversire ou Traversier possédait des terrains en cet endroit.","En 1806, rue des Chantiers ou rue du Cler Chantier, entre le quai et la rue de Bercy ; rue Pavée, entre les rues de Bercy et de Charenton. Cette voie est tracée sur le plan de Jouvin de Rochefort (1672)."
RUE POPINCOURT,"Manoir de Jean de Popincourt, premier président du Parlement sous Charles VI.","Elle est indiquée comme entièrement construite sur le plan de Jouvin de Rochefort (1672). Dénommée Popincourt dès l'origine, on l'a aussi appelée rue du Bas Pincourt et par abréviation rue Pincourt. La rue du Bas Pincourt était comprise entre la rue de la Roquette et la rue Oberkampf. Un arrêté du 2 avril 1868, a réuni un tronçon de la rue Popincourt, entre la rue Saint-Ambroise et la rue Oberkampf, à la rue de la Folie-Méricourt."
RUE DU COUEDIC,"Le vicomte Charles Louis du Couédic de Kergoualec (1739-1780), marin.",Précédemment rue Neuve d'Orléans.
CITE BLANCHE,"Blanche, prénom de la fille du propriétaire des terrains sur lesquels cette voie a été créée.",
IMPASSE BARRIER,"M. Barrier, propriétaire du terrain sur lequel la voie a été ouverte.",
RUE LA VACQUERIE,"Jean de La Vacquerie, premier président au Parlement en 1481, mort en 1497.",
RUE COPERNIC,"Nicolas Copernic (1473-1543), mathématicien, astronome polonais auteur de la théorie du système planétaire ; quartier où ont été groupés des noms d'astronomes.","Précédemment, partie de la rue des Bassins."
IMPASSE DES TROIS VISAGES,On voyait autrefois trois têtes sculptées à son extrémité.,"Ancienne rue qui existait en 1245 ; elle a été appelée rue Jean l'Eveiller (Guillot 1300), rue Jean l'Esgullier (taxe de 1313), Jean le Goulier, Jean Golier, au Goulier ou au Goulier dite du Renard (1492), du Renard, des Trois Visages (1782), cul-de-sac des Trois Visages (Verniquet 1789)."
RUE CHENIER,"André Marie de Chénier (1762-1794), poète, une des victimes de la Terreur ; a habité dans le voisinage, rue de Cléry, 97.","Précédemment rue Saint-Claude, et plus anciennement rue Sainte-Anne."
RUE HERICART,"Louis Etienne François Héricart (1776-1854), vicomte de Thury, agronome et ingénieur des mines.","Précédemment, rue Traversière. La partie comprise entre la place Fernand Forest et la rue Emeriau a été déclassée par arrêté du 10 janvier 1972 et supprimée lors de l'aménagement du secteur Beaugrenelle. La partie déclassée par arrêté du 10 juin 1976, sur une longueur de 88 m à partir de la rue Emeriau, a été supprimée."
RUE DU FAUBOURG SAINT-MARTIN,Principale rue du faubourg formé au-delà de la porte Saint-Martin.,"Anciennement rue du Faubourg Saint-Martin, entre le boulevard Saint-Denis et la rue du Château d'Eau, et rue du Faubourg Saint-Laurent pour le surplus. Pendant la Révolution, ces deux parties ont été réunies sous le nom de rue du Faubourg du Nord."
RUE VIEILLE DU TEMPLE,Ancien chemin qui conduisait à la Commanderie du Temple.,"Des titres du XIIIe siècle la mentionnent déjà, sous le nom de vieille rue du Temple ; Guillot, en 1300, rue du Temple. Elle a encore porté les noms de : rue de la Culture du Temple, rue de la Couture du Temple, rue de la Clôture du Temple, rue de l'Egout du Temple, rue de la Porte Barbette, rue de la Poterne Barbette, rue Barbette et rue Vieille Barbette. La rue Vieille du Temple commençait jadis rue Saint-Antoine (rue François Miron actuelle) ; le tronçon compris entre cette dernière voie et la rue de Rivoli a été réunie à la rue du Pont Louis-Philippe par un arr. du 13 juillet 1885."
VILLA DES IRIS,,
RUE BOY-ZELENSKI,"Tadeusz Zelenski dit Boy (Varsovie, 1874-Lviv (Lwow), 1941), écrivain polonais.",Voie créée lors de l'aménagement de la Zac `Jemmapes-Grange aux Belles`.
RUE SAILLARD,"Le baron Saillard (1824-1870), commandant du 1er bataillon de la garde mobile de la Seine pendant la guerre de 1870-1871, blessé mortellement à Epinay-sur-Seine.","Ouverte par la Ville de Paris. Le tronçon M était, précédemment, une partie de l'ancienne place de la Mairie."
RUE JEAN POULMARCH,"Jean Poulmarch (1910-1941), syndicaliste, otage fusillé par les Allemands.","Précédemment partie de la rue des Vinaigriers. Cette dernière rue a porté les noms de ruelle des Vinaigriers sur le plan de Delagrive (1728) et de rue Carême Prenant sur le plan de Gomboust (1652). D'après Jaillot, elle était appelée, sur un plan de la même époque, ruelle de l'Héritier."
COUR DU MINERVOIS,Région à vocation viticole du bas Languedoc située entre la montagne noire et la vallée de l'Orb.,"Voie créée dans le cadre de l'aménagement de la partie est de la Zac ""Bercy"". Reprend la dénomination d'une voie supprimée qui était située dans les anciens entrepôts de Bercy."
RUE JEAN REY,"Jean Rey (1861-1935), ingénieur, membre de l'Institut ; voisinage des usines Sautter-Harlé qu'il dirigea.",Ouverte par la Ville de Paris sur l'emplacement de l'ancienne gare du Champ de Mars.
RUE PIERRE NICOLE,"Pierre Nicole (1625-1695), théologien de Port-Royal français ; voisinage de l'ancienne communauté de Port-Royal.",Précédemment rue Nicole (partie A) et rue Pierre Nicole prolongée (partie B). L'établissement de cette voie a été imposé par l'Etat aux acquéreurs de l'ancien couvent des Carmélites. La partie longeant l'école Lavoisier a été ouverte par la Ville de Paris.
RUE PIERRE REBIERE,Pierre Rebière. Un des chefs de la Résistance. Fusillé en 1942.,Ouverte par la Ville de Paris.
RUE DU FOUR,Le four banal de l'abbaye Saint-Germain était situé dans cette rue.,"Très ancienne voie qui conduisait aux villages d'Issy et de Sèvres. Elle a été dénommée : au XIIIe siècle, vicus Furni (1261), rue de la Granche Jehan le Bouvier (1296) ; au XIVe siècle, grant rue Saint-Germain et chaussée du Roi (1398) ; au XVe siècle, grant rue du Four, rue du Bourg (1412), rue de la Maladerye (1413), chemin de Vaugirard (1428). Rue de la Blanche Oie, entre la rue Montfaucon et la rue des Cannettes puis, rue du Four Saint-Germain."
RUE PONSCARME,"François Hubert Joseph Ponscarme (1827-1903), sculpteur et graveur.",Précédemment rue de Richemont prolongée.
ALLEE JULES SUPERVIELLE,"Jules Supervielle (Montevideo, 1884-Paris, 1960), poète et romancier français.",Voie créée dans le cadre de l'aménagement du secteur des Halles. Elle avait été provisoirement dénommée V/1.
RUE MOUSSORGSKY,"Modest Petrovitch Moussorgsky (Karevo, 1839-Saint-Pétersbourg, 1881), compositeur russe.",Voie située dans la Zac `Evangile`. Elle avait été provisoirement dénommée AR/18.
SQUARE LAMARCK,"Voisinage de la rue Lamarck. Jean Baptiste Pierre Antoine de Monet de Lamarck (1744-1829), naturaliste français, initiateur de la théorie du transformisme, auteur d'études sur les fossiles du bassin de Paris.","Avant 1932, villa Alphonse Allais."
PLACE MARIE DE MIRIBEL,"Marie de Miribel (1872-1959), fondatrice des oeuvres sociales et hospitalières de la Croix Saint-Simon à Paris. Elle consacra sa vie au soulagement de la souffrance humaine.",
AVENUE DE LA PORTE BRUNET,Située en partie sur l'emplacement de l'ancienne porte Brunet.,Aménagée par la Ville de Paris sur l'emplacement des anciennes fortifications entre les bastions 22 et 23 et élargie en 1932.
